13800, 2262.194384, 0.095920, 2262.290304, 2258.958839, 0.085501, 2259.044340
14000, 2328.611506, 0.094012, 2328.705518, 2325.199081, 0.084869, 2325.283950
14200, 2395.317029, 0.092757, 2395.409786, 2392.214756, 0.083162, 2392.297917
14400, 2463.058966, 0.091361, 2463.150327, 2460.275475, 0.081349, 2460.356824
14600, 2531.954533, 0.089353, 2532.043887, 2529.005350, 0.079725, 2529.085075
14800, 2601.885791, 0.088305, 2601.974097, 2598.808692, 0.078472, 2598.887164
15000, 2672.633403, 0.085412, 2672.718815, 2669.739410, 0.078369, 2669.817778
15200, 2744.388319, 0.086355, 2744.474673, 2741.258102, 0.075922, 2741.334024
15400, 2817.195678, 0.083272, 2817.278949, 2813.994722, 0.074141, 2814.068863
15600, 2890.568863, 0.081095, 2890.649958, 2887.784632, 0.072703, 2887.857335
15800, 2965.371463, 0.079140, 2965.450603, 2962.242889, 0.071010, 2962.313900
16000, 3040.869399, 0.074827, 3040.944226, 3037.861452, 0.069026, 3037.930478
16200, 3117.469633, 0.071912, 3117.541546, 3114.032265, 0.066233, 3114.098498
16400, 3195.170173, 0.067292, 3195.237465, 3191.473471, 0.063563, 3191.537034
16600, 3273.270413, 0.062794, 3273.333207, 3269.969578, 0.059775, 3270.029353
16800, 3352.732224, 0.060550, 3352.792774, 3349.798776, 0.056559, 3349.855335
17000, 3433.078038, 0.057896, 3433.135933, 3429.520256, 0.053765, 3429.574021
17200, 3514.467088, 0.052717, 3514.519805, 3510.901055, 0.050585, 3510.951640
17400, 3596.538186, 0.051467, 3596.589653, 3593.073685, 0.048334, 3593.122018
17600, 3679.922475, 0.055306, 3679.977781, 3676.558686, 0.050385, 3676.609071
17800, 3763.790860, 0.059254, 3763.850114, 3760.193821, 0.054334, 3760.248155
18000, 3849.151668, 0.063513, 3849.215181, 3845.243214, 0.057875, 3845.301089
18200, 3934.641163, 0.066844, 3934.708007, 3931.181615, 0.060872, 3931.242487
18400, 4021.887333, 0.068920, 4021.956253, 4018.108502, 0.063471, 4018.171973
18600, 4109.903991, 0.072363, 4109.976353, 4105.389522, 0.067074, 4105.456596
18800, 4198.355770, 0.076675, 4198.432446, 4194.483335, 0.072097, 4194.555431
19000, 4288.234140, 0.078701, 4288.312841, 4284.177196, 0.077873, 4284.255069
19200, 4379.184236, 0.080934, 4379.265170, 4375.078502, 0.079555, 4375.158057
19400, 4470.617488, 0.084790, 4470.702278, 4466.815657, 0.081319, 4466.896975
19600, 4563.660747, 0.086479, 4563.747226, 4559.593930, 0.084414, 4559.678344
19800, 4656.808205, 0.089971, 4656.898176, 4652.479557, 0.084366, 4652.563923
