#Dt, msdx1, msdy1, msdr1, msdx2, msdy2, msdr2 
13600, 2142.384826, 0.239259, 2142.624085, 2142.589157, 0.077584, 2142.666741
13800, 2204.070890, 0.245703, 2204.316593, 2206.070168, 0.073156, 2206.143325
14000, 2270.209685, 0.242409, 2270.452094, 2272.211844, 0.071058, 2272.282902
14200, 2339.982442, 0.199151, 2340.181594, 2335.083800, 0.063105, 2335.146906
14400, 2400.951382, 0.175122, 2401.126504, 2400.412048, 0.039263, 2400.451311
14600, 2468.929245, 0.170230, 2469.099475, 2466.724194, 0.039646, 2466.763841
14800, 2536.690548, 0.150032, 2536.840580, 2536.128545, 0.060255, 2536.188800
15000, 2607.526761, 0.130952, 2607.657713, 2602.777541, 0.068399, 2602.845940
15200, 2675.039655, 0.130097, 2675.169752, 2674.219630, 0.067044, 2674.286674
15400, 2748.007076, 0.103709, 2748.110785, 2743.759130, 0.067542, 2743.826672
15600, 2819.471652, 0.078955, 2819.550607, 2818.596828, 0.065616, 2818.662444
15800, 2893.469464, 0.066276, 2893.535740, 2889.055095, 0.076016, 2889.131111
16000, 2964.062904, 0.064167, 2964.127071, 2964.124742, 0.081292, 2964.206034
16200, 3040.326049, 0.066257, 3040.392306, 3036.752179, 0.076404, 3036.828583
16400, 3113.410780, 0.061972, 3113.472752, 3112.905816, 0.056189, 3112.962005
16600, 3192.537135, 0.040533, 3192.577668, 3188.462406, 0.053765, 3188.516171
16800, 3267.477493, 0.028474, 3267.505967, 3270.710279, 0.047457, 3270.757736
17000, 3346.288977, 0.027422, 3346.316399, 3344.931704, 0.032580, 3344.964284
17200, 3431.186438, 0.017607, 3431.204045, 3425.135355, 0.019003, 3425.154358
17400, 3505.509429, 0.007172, 3505.516601, 3505.516469, 0.006865, 3505.523333
17600, 3584.571166, 0.002630, 3584.573795, 3583.581707, 0.000911, 3583.582618
17800, 3670.448210, 0.004884, 3670.453094, 3663.690157, 0.003348, 3663.693504
18000, 3749.711067, 0.014327, 3749.725393, 3745.805965, 0.011599, 3745.817564
18200, 3834.065991, 0.019292, 3834.085283, 3829.553535, 0.026400, 3829.579934
18400, 3918.340924, 0.025003, 3918.365927, 3913.333437, 0.033585, 3913.367022
18600, 4006.161654, 0.031141, 4006.192795, 4002.318827, 0.041862, 4002.360689
18800, 4094.440729, 0.039622, 4094.480351, 4086.101448, 0.054271, 4086.155719
19000, 4184.525532, 0.048997, 4184.574528, 4171.706507, 0.069645, 4171.776152
19200, 4273.347094, 0.052494, 4273.399588, 4256.535058, 0.079608, 4256.614665
19400, 4362.976016, 0.054939, 4363.030955, 4349.978559, 0.091539, 4350.070099
19600, 4451.675513, 0.068261, 4451.743774, 4437.476712, 0.098151, 4437.574863
19800, 4545.982270, 0.070518, 4546.052788, 4527.794688, 0.080564, 4527.875251
20000, 4638.237176, 0.080783, 4638.317959, 4620.352534, 0.070470, 4620.423004
20200, 4733.924098, 0.090210, 4734.014308, 4715.976489, 0.067595, 4716.044083
20400, 4825.182629, 0.107292, 4825.289921, 4807.462254, 0.078734, 4807.540988
20600, 4915.624112, 0.123194, 4915.747306, 4902.036953, 0.081774, 4902.118726
20800, 5012.044429, 0.133271, 5012.177700, 4998.502300, 0.081616, 4998.583916
21000, 5106.750949, 0.128825, 5106.879774, 5099.095444, 0.090146, 5099.185590
21200, 5206.707816, 0.115963, 5206.823779, 5193.033652, 0.100890, 5193.134541
21400, 5302.538686, 0.114648, 5302.653334, 5293.073595, 0.106491, 5293.180086
21600, 5404.207590, 0.119459, 5404.327049, 5394.591183, 0.121784, 5394.712967
21800, 5500.669760, 0.139716, 5500.809476, 5495.297468, 0.133645, 5495.431114
22000, 5603.566605, 0.164317, 5603.730922, 5596.860184, 0.144524, 5597.004708
22200, 5705.995537, 0.153199, 5706.148735, 5698.058278, 0.166924, 5698.225202
22400, 5811.249646, 0.156173, 5811.405819, 5805.113049, 0.159105, 5805.272154
22600, 5915.892788, 0.180810, 5916.073598, 5910.064320, 0.153696, 5910.218016
22800, 6018.346884, 0.183162, 6018.530046, 6014.191079, 0.127757, 6014.318835
23000, 6126.188789, 0.156121, 6126.344910, 6120.182120, 0.122458, 6120.304578
23200, 6232.196001, 0.153589, 6232.349590, 6228.427986, 0.127759, 6228.555745
23400, 6338.210218, 0.134309, 6338.344528, 6330.090024, 0.152953, 6330.242977
23600, 6446.775779, 0.132438, 6446.908217, 6440.299644, 0.170342, 6440.469985
23800, 6557.649609, 0.134519, 6557.784128, 6551.341669, 0.187123, 6551.528792
24000, 6663.560039, 0.128731, 6663.688770, 6664.898866, 0.201875, 6665.100742
24200, 6778.421727, 0.148611, 6778.570337, 6773.318094, 0.201740, 6773.519835
24400, 6888.851071, 0.164539, 6889.015610, 6890.777443, 0.191464, 6890.968907
24600, 6996.526446, 0.192449, 6996.718895, 7005.920083, 0.197875, 7006.117957
24800, 7114.259886, 0.216034, 7114.475920, 7122.721767, 0.216018, 7122.937785
25000, 7222.825006, 0.245420, 7223.070426, 7233.818252, 0.231233, 7234.049485
25200, 7341.208557, 0.272762, 7341.481319, 7356.770122, 0.235263, 7357.005385
25400, 7460.041147, 0.278987, 7460.320134, 7474.840155, 0.212533, 7475.052687
25600, 7582.814215, 0.296243, 7583.110459, 7586.924192, 0.200990, 7587.125182
25800, 7698.351757, 0.264425, 7698.616182, 7707.010797, 0.202096, 7707.212893
26000, 7817.457026, 0.236599, 7817.693625, 7839.938790, 0.189128, 7840.127918
26200, 7936.894982, 0.223332, 7937.118314, 7945.228401, 0.180340, 7945.408741
26400, 8059.152472, 0.220337, 8059.372809, 8071.881096, 0.163678, 8072.044774
26600, 8178.987654, 0.239741, 8179.227395, 8193.129996, 0.161363, 8193.291360
26800, 8309.077655, 0.264921, 8309.342577, 8318.938878, 0.163103, 8319.101981
27000, 8434.848985, 0.280725, 8435.129710, 8436.019330, 0.151681, 8436.171011
27200, 8561.135003, 0.284171, 8561.419174, 8568.855313, 0.142934, 8568.998247
27400, 8686.093046, 0.289244, 8686.382291, 8693.315279, 0.141099, 8693.456378
27600, 8814.111094, 0.291670, 8814.402764, 8820.843599, 0.141591, 8820.985189
27800, 8935.146045, 0.289531, 8935.435576, 8953.350085, 0.144687, 8953.494771
28000, 9070.059462, 0.318266, 9070.377729, 9076.647881, 0.150803, 9076.798683
28200, 9203.709147, 0.332844, 9204.041991, 9213.342801, 0.162976, 9213.505778
28400, 9330.768207, 0.313614, 9331.081821, 9345.274195, 0.170181, 9345.444376
28600, 9468.777234, 0.298448, 9469.075682, 9470.887005, 0.174040, 9471.061045
28800, 9599.461079, 0.258108, 9599.719187, 9606.443609, 0.152972, 9606.596581
29000, 9735.494255, 0.244069, 9735.738324, 9741.146808, 0.126582, 9741.273391
29200, 9867.514261, 0.241351, 9867.755613, 9868.786208, 0.109660, 9868.895868
29400, 10007.349853, 0.222572, 10007.572425, 10001.197472, 0.114044, 10001.311516
29600, 10141.242616, 0.214184, 10141.456800, 10141.412183, 0.123217, 10141.535400
29800, 10275.540255, 0.218779, 10275.759034, 10273.056892, 0.125685, 10273.182577
30000, 10417.560427, 0.218792, 10417.779219, 10412.068075, 0.121306, 10412.189381
30200, 10562.220945, 0.199769, 10562.420715, 10549.514455, 0.110450, 10549.624905
30400, 10701.729309, 0.183988, 10701.913297, 10692.156812, 0.101526, 10692.258339
30600, 10839.524540, 0.196959, 10839.721499, 10830.893390, 0.093214, 10830.986604
30800, 10982.383688, 0.229344, 10982.613033, 10974.537487, 0.088278, 10974.625765
31000, 11125.390551, 0.238466, 11125.629017, 11119.112794, 0.088701, 11119.201495
